sample	protocol	fct	total	chr	proportion	p	a	b	n	mp	sdp	N	Z	pos	keep	site_name	point_type	shapeCol
Individual_4991	Protocol_5	Site_613	349770	chr1	29313	0.08380650141521571	4690.4613121767725	50509.460564811714	349770	0.08497224547942905	0.0012770344742880808	271150	-0.9128524622353805	FALSE	TRUE	HKI	Reference	Control
Individual_4992	Protocol_5	Site_613	1538	chr1	129	0.08387516254876463	4690.4613121767725	50509.460564811714	1538	0.08497224547942907	0.007208436226512589	271150	-0.15219430347866136	FALSE	TRUE	HKI	Reference	Control
Individual_7380	Protocol_5	Site_882	8963	chr1	776	0.08657815463572464	4690.4613121767725	50509.460564811714	8963	0.08497224547942905	0.0031753959315654117	271150	0.5057350928531003	FALSE	TRUE	LAZ	Reference	Control
Individual_7381	Protocol_5	Site_882	620188	chr1	53111	0.08563693589685709	4690.4613121767725	50509.460564811714	620188	0.08497224547942905	0.0012385041931496296	271150	0.5366880637986889	FALSE	TRUE	LAZ	Reference	Control
Individual_7385	Protocol_5	Site_882	42367	chr1	3523	0.08315434182264499	4690.4613121767725	50509.460564811714	42367	0.08497224547942905	0.0018010259123461905	271150	-1.0093711835694192	FALSE	TRUE	LAZ	Reference	Control
Individual_7386	Protocol_5	Site_882	116244	chr1	10236	0.08805615773717353	4690.4613121767725	50509.460564811714	116244	0.08497224547942905	0.001441312952139017	271150	2.1396548564749347	FALSE	TRUE	LAZ	Reference	Significant
LAZ019	Protocol_5	Site_882	142574	chr1	12021	0.08431411056714408	4690.4613121767725	50509.460564811714	142574	0.08497224547942907	0.0013978058753657196	271150	-0.47083427240051845	TRUE	TRUE	LAZ	LAZ019	Important
Individual_7388	Protocol_5	Site_882	613669	chr1	52005	0.08474438174325247	4690.4613121767725	50509.460564811714	613669	0.08497224547942905	0.00123904172625839	271150	-0.18390319821163795	FALSE	TRUE	LAZ	Reference	Control
Individual_7389	Protocol_5	Site_882	117680	chr1	9958	0.08461930659415363	4690.4613121767725	50509.460564811714	117680	0.08497224547942905	0.0014384787968261615	271150	-0.24535563962022847	FALSE	TRUE	LAZ	Reference	Control
Individual_15207	Protocol_5	Site_1791	1488	chr1	119	0.07997311827956989	4690.4613121767725	50509.460564811714	1488	0.08497224547942905	0.007325315230869004	271150	-0.6824453340646359	FALSE	TRUE	YUN	Reference	Control
Individual_15478	Protocol_5	Site_1791	322625	chr1	27596	0.08553583882216195	4690.4613121767725	50509.460564811714	322625	0.08497224547942905	0.0012843364484379377	271150	0.4388206403535179	FALSE	TRUE	YUN	Reference	Control
Individual_15482	Protocol_5	Site_1791	987933	chr1	84240	0.08526894030263187	4690.4613121767725	50509.460564811714	987933	0.08497224547942905	0.0012195190694422977	271150	0.2432883836236313	FALSE	TRUE	YUN	Reference	Control
Individual_15484	Protocol_5	Site_1791	463887	chr1	39812	0.08582262490649663	4690.4613121767725	50509.460564811714	463887	0.08497224547942905	0.001255441435798057	271150	0.6773549150279609	FALSE	TRUE	YUN	Reference	Control
Individual_15498	Protocol_5	Site_1791	290862	chr1	24775	0.08517785066457632	4690.4613121767725	50509.460564811714	290862	0.08497224547942907	0.0012945413598904505	271150	0.15882473246328369	FALSE	TRUE	YUN	Reference	Control
Individual_15500	Protocol_5	Site_1791	546869	chr1	45804	0.08375680464608526	4690.4613121767725	50509.460564811714	546869	0.08497224547942905	0.0012452712687933166	271150	-0.9760450303503527	FALSE	TRUE	YUN	Reference	Control
Individual_15502	Protocol_5	Site_1791	759710	chr1	64604	0.08503771175843414	4690.4613121767725	50509.460564811714	759710	0.08497224547942907	0.0012291740899625953	271150	0.05326037990848096	FALSE	TRUE	YUN	Reference	Control
Individual_15503	Protocol_5	Site_1791	545022	chr1	45890	0.08419843602643563	4690.4613121767725	50509.460564811714	545022	0.08497224547942905	0.0012454647083809307	271150	-0.6213017902364745	FALSE	TRUE	YUN	Reference	Control
Individual_15509	Protocol_5	Site_1791	24853	chr1	2087	0.08397376574256629	4690.4613121767725	50509.460564811714	24853	0.08497224547942907	0.002130010282183085	271150	-0.4687675666238645	FALSE	TRUE	YUN	Reference	Control
YUN039	Protocol_5	Site_1791	254544	chr1	21334	0.0838126217864102	4690.4613121767725	50509.460564811714	254544	0.08497224547942905	0.0013091893991352295	271150	-0.8857570140613923	TRUE	TRUE	YUN	YUN039	Important
Individual_15519	Protocol_5	Site_1791	16293	chr1	1389	0.08525133492911066	4690.4613121767725	50509.460564811714	16293	0.08497224547942905	0.0024860709022305237	271150	0.11226125909410156	FALSE	TRUE	YUN	Reference	Control
CRU001	Protocol_7	Site_345	445079	chr2	39594	0.08895948809087825	6220.692267793424	62995.31147637284	445079	0.0898736120447827	0.001168552299595324	271150	-0.782270467672701	TRUE	TRUE	CRU	CRU001	Important
Individual_2718	Protocol_7	Site_345	594058	chr2	53437	0.08995249622090773	6220.692267793424	62995.31147637284	594058	0.0898736120447827	0.0011486629605570052	271150	0.06867478001273786	FALSE	TRUE	CRU	Reference	Control
Individual_2723	Protocol_7	Site_345	517151	chr2	46389	0.089701073767623	6220.692267793424	62995.31147637284	517151	0.0898736120447827	0.0011575416618087122	271150	-0.14905578162093866	FALSE	TRUE	CRU	Reference	Control
Individual_2724	Protocol_7	Site_345	1124129	chr2	100547	0.08944436092299016	6220.692267793424	62995.31147637284	1124129	0.0898736120447827	0.001120045040248077	271150	-0.38324451818247035	FALSE	TRUE	CRU	Reference	Control
Individual_2725	Protocol_7	Site_345	211976	chr2	19120	0.09019889044042721	6220.692267793424	62995.31147637284	211976	0.08987361204478268	0.0012520414027488462	271150	0.25979843392589363	FALSE	TRUE	CRU	Reference	Control
Individual_2727	Protocol_7	Site_345	242494	chr2	21862	0.09015480795401123	6220.692267793424	62995.31147637284	242494	0.0898736120447827	0.001232495734902837	271150	0.2281516286550927	FALSE	TRUE	CRU	Reference	Control
Individual_2728	Protocol_7	Site_345	483899	chr2	43588	0.09007664822617943	6220.692267793424	62995.31147637284	483899	0.0898736120447827	0.001162226867416645	271150	0.1746958249623294	FALSE	TRUE	CRU	Reference	Control
CRU013	Protocol_7	Site_345	1569953	chr2	139169	0.08864532887290257	6220.692267793424	62995.31147637284	1569953	0.0898736120447827	0.0011107826678153764	271150	-1.1057817226261268	TRUE	TRUE	CRU	CRU013	Important
Individual_2735	Protocol_7	Site_345	833443	chr2	75050	0.09004814966350429	6220.692267793424	62995.31147637284	833443	0.0898736120447827	0.0011313173853313054	271150	0.15427820785276541	FALSE	TRUE	CRU	Reference	Control
CRU024	Protocol_7	Site_345	977523	chr2	87435	0.0894454657332871	6220.692267793424	62995.31147637284	977523	0.08987361204478268	0.0011249060819490716	271150	-0.38060627315104806	TRUE	TRUE	CRU	CRU024	Important
Individual_2741	Protocol_7	Site_345	543522	chr2	48828	0.08983628997538277	6220.692267793424	62995.31147637284	543522	0.08987361204478268	0.0011542221342948854	271150	-0.03233525704539434	FALSE	TRUE	CRU	Reference	Control
Individual_2742	Protocol_7	Site_345	281290	chr2	25318	0.09000675459490205	6220.692267793424	62995.31147637284	281290	0.0898736120447827	0.0012134758501495012	271150	0.10971998338735157	FALSE	TRUE	CRU	Reference	Control
Individual_2743	Protocol_7	Site_345	9416	chr2	875	0.09292693288020391	6220.692267793424	62995.31147637284	9416	0.0898736120447827	0.003141427201938813	271150	0.9719533954301983	FALSE	TRUE	CRU	Reference	Control
Individual_3641	Protocol_7	Site_468	1114139	chr2	99673	0.08946190735626344	6220.692267793424	62995.31147637284	1114139	0.0898736120447827	0.0011203362565278885	271150	-0.367483142780005	FALSE	TRUE	ERE	Reference	Control
Individual_3642	Protocol_7	Site_468	1467102	chr2	131641	0.08972859419454135	6220.692267793424	62995.31147637284	1467102	0.08987361204478268	0.0011124255599324515	271150	-0.13036184663910338	FALSE	TRUE	ERE	Reference	Control
Individual_3643	Protocol_7	Site_468	387527	chr2	34737	0.08963762524933747	6220.692267793424	62995.31147637284	387527	0.0898736120447827	0.0011801725859308784	271150	-0.19995956376083165	FALSE	TRUE	ERE	Reference	Control
ERE004	Protocol_7	Site_468	452307	chr2	40660	0.08989469541705081	6220.692267793424	62995.31147637284	452307	0.0898736120447827	0.0011672950227802324	271150	0.018061734057508858	TRUE	TRUE	ERE	ERE004	Important
Individual_3645	Protocol_7	Site_468	548975	chr2	49635	0.09041395327656086	6220.692267793424	62995.31147637284	548975	0.0898736120447827	0.0011535744014583413	271150	0.46840605260923784	FALSE	TRUE	ERE	Reference	Control
Individual_3646	Protocol_7	Site_468	7385	chr2	689	0.0932972241029113	6220.692267793424	62995.31147637284	7385	0.0898736120447827	0.0035010840261498113	271150	0.9778720055152739	FALSE	TRUE	ERE	Reference	Control
Individual_4987	Protocol_5	Site_613	741569	chr2	65226	0.0879567511586919	4117.858465686494	42943.434193562294	741569	0.08749990136272268	0.00134321225624167	271150	0.34011735215065975	FALSE	TRUE	HKI	Reference	Control
HKI002	Protocol_5	Site_613	133789	chr2	11745	0.08778748626568701	4117.858465686494	42943.434193562294	133789	0.08749990136272269	0.0015143738643337895	271150	0.18990350384238672	TRUE	TRUE	HKI	HKI002	Important
Individual_4989	Protocol_5	Site_613	3332	chr2	302	0.09063625450180073	4117.858465686494	42943.434193562294	3332	0.08749990136272269	0.0050654446381406554	271150	0.6191664035695155	FALSE	TRUE	HKI	Reference	Control
Individual_4990	Protocol_5	Site_613	741103	chr2	65386	0.0882279521200157	4117.858465686494	42943.434193562294	741103	0.08749990136272269	0.0013432374566929844	271150	0.5420119530358064	FALSE	TRUE	HKI	Reference	Control
Individual_4991	Protocol_5	Site_613	349770	chr2	30592	0.08746319009634904	4117.858465686494	42943.434193562294	349770	0.08749990136272269	0.0013873798384806202	271150	-0.02646086194668806	FALSE	TRUE	HKI	Reference	Control
Individual_4992	Protocol_5	Site_613	1538	chr2	120	0.07802340702210664	4117.858465686494	42943.434193562294	1538	0.08749990136272269	0.007321844616840301	271150	-1.2942768983133073	FALSE	TRUE	HKI	Reference	Control
Individual_7380	Protocol_5	Site_882	8963	chr2	767	0.08557402655360928	4117.858465686494	42943.434193562294	8963	0.0874999013627227	0.0032564558495209723	271150	-0.5914020942113252	FALSE	TRUE	LAZ	Reference	Control
Individual_7381	Protocol_5	Site_882	620188	chr2	53783	0.086720478306578	4117.858465686494	42943.434193562294	620188	0.0874999013627227	0.0013510333924776244	271150	-0.5769088021690848	FALSE	TRUE	LAZ	Reference	Control
Individual_7385	Protocol_5	Site_882	42367	chr2	3787	0.08938560672221305	4117.858465686494	42943.434193562294	42367	0.08749990136272269	0.0018923754923398214	271150	0.996475259335969	FALSE	TRUE	LAZ	Reference	Control
Individual_7386	Protocol_5	Site_882	116244	chr2	10032	0.08630122845050067	4117.858465686494	42943.434193562294	116244	0.08749990136272269	0.0015438267400429727	271150	-0.7764296867850939	FALSE	TRUE	LAZ	Reference	Control
LAZ019	Protocol_5	Site_882	142574	chr2	12385	0.0868671707323916	4117.858465686494	42943.434193562294	142574	0.08749990136272269	0.0015021839507740834	271150	-0.4212071564238464	TRUE	TRUE	LAZ	LAZ019	Important
Individual_7388	Protocol_5	Site_882	613669	chr2	53856	0.0877606657660726	4117.858465686494	42943.434193562294	613669	0.08749990136272268	0.0013515394236703103	271150	0.19293880650686035	FALSE	TRUE	LAZ	Reference	Control
Individual_7389	Protocol_5	Site_882	117680	chr2	10594	0.0900237933378654	4117.858465686494	42943.434193562294	117680	0.08749990136272269	0.0015411098864039198	271150	1.6377105859933465	FALSE	TRUE	LAZ	Reference	Control
Individual_15207	Protocol_5	Site_1791	1488	chr2	132	0.08870967741935484	4117.858465686494	42943.434193562294	1488	0.0874999013627227	0.007440012915669359	271150	0.16260402641025506	FALSE	TRUE	YUN	Reference	Control
Individual_15478	Protocol_5	Site_1791	322625	chr2	28463	0.0882231693142193	4117.858465686494	42943.434193562294	322625	0.0874999013627227	0.0013942843954970645	271150	0.5187377509440916	FALSE	TRUE	YUN	Reference	Control
Individual_15482	Protocol_5	Site_1791	987933	chr2	86476	0.08753225168103505	4117.858465686494	42943.434193562294	987933	0.08749990136272269	0.0013331804391034884	271150	0.02426552127791294	FALSE	TRUE	YUN	Reference	Control
Individual_15484	Protocol_5	Site_1791	463887	chr2	40330	0.08693927615992687	4117.858465686494	42943.434193562294	463887	0.08749990136272268	0.0013669923268649882	271150	-0.410115837359176	FALSE	TRUE	YUN	Reference	Control
Individual_15498	Protocol_5	Site_1791	290862	chr2	25395	0.08730944571652537	4117.858465686494	42943.434193562294	290862	0.08749990136272268	0.0014039423435264146	271150	-0.1356577405585792	FALSE	TRUE	YUN	Reference	Control
Individual_15500	Protocol_5	Site_1791	546869	chr2	48176	0.08809422366233961	4117.858465686494	42943.434193562294	546869	0.08749990136272269	0.0013574060707128616	271150	0.43783677739470095	FALSE	TRUE	YUN	Reference	Control
Individual_15502	Protocol_5	Site_1791	759710	chr2	66469	0.08749259585894617	4117.858465686494	42943.434193562294	759710	0.08749990136272269	0.0013422549007702331	271150	-0.0054427097061276975	FALSE	TRUE	YUN	Reference	Control
Individual_15503	Protocol_5	Site_1791	545022	chr2	48039	0.08814139612712882	4117.858465686494	42943.434193562294	545022	0.08749990136272269	0.0013575883057492454	271150	0.47252525798098316	FALSE	TRUE	YUN	Reference	Control
Individual_15509	Protocol_5	Site_1791	24853	chr2	2201	0.08856073713434998	4117.858465686494	42943.434193562294	24853	0.08749990136272268	0.002215653781029543	271150	0.4787913078795026	FALSE	TRUE	YUN	Reference	Control
YUN039	Protocol_5	Site_1791	254544	chr2	22074	0.08671978125589289	4117.858465686494	42943.434193562294	254544	0.0874999013627227	0.0014178221230917948	271150	-0.5502242447230529	TRUE	TRUE	YUN	YUN039	Important
Individual_15519	Protocol_5	Site_1791	16293	chr2	1417	0.08696986435892715	4117.858465686494	42943.434193562294	16293	0.08749990136272268	0.002568450475488759	271150	-0.20636450219841904	FALSE	TRUE	YUN	Reference	Control
CRU001	Protocol_7	Site_345	445079	chr3	33223	0.07464517535089277	2557.1469230868606	31728.517969960707	445079	0.07458355936989275	0.0014724548739057037	271150	0.04184575167086866	TRUE	TRUE	CRU	CRU001	Important
Individual_2718	Protocol_7	Site_345	594058	chr3	44845	0.07548926199125337	2557.1469230868606	31728.517969960707	594058	0.07458355936989276	0.001459189623669411	271150	0.6206887759269065	FALSE	TRUE	CRU	Reference	Control
Individual_2723	Protocol_7	Site_345	517151	chr3	38669	0.07477313202526921	2557.1469230868606	31728.517969960707	517151	0.07458355936989275	0.001465097987328261	271150	0.12939247546313493	FALSE	TRUE	CRU	Reference	Control
Individual_2724	Protocol_7	Site_345	1124129	chr3	83036	0.07386696722529176	2557.1469230868606	31728.517969960707	1124129	0.07458355936989274	0.0014402951034635128	271150	-0.4975314731528042	FALSE	TRUE	CRU	Reference	Control
Individual_2725	Protocol_7	Site_345	211976	chr3	15768	0.07438577952221007	2557.1469230868606	31728.517969960707	211976	0.07458355936989275	0.0015292644610783717	271150	-0.12933004899833822	FALSE	TRUE	CRU	Reference	Control
Individual_2727	Protocol_7	Site_345	242494	chr3	18366	0.07573795640304502	2557.1469230868606	31728.517969960707	242494	0.07458355936989275	0.0015158077654353409	271150	0.7615721857848713	FALSE	TRUE	CRU	Reference	Control
Individual_2728	Protocol_7	Site_345	483899	chr3	36313	0.07504251920338749	2557.1469230868606	31728.517969960707	483899	0.07458355936989275	0.0014682244519836829	271150	0.3125951436612098	FALSE	TRUE	CRU	Reference	Control
CRU013	Protocol_7	Site_345	1569953	chr3	114668	0.07303912919686131	2557.1469230868606	31728.517969960707	1569953	0.07458355936989275	0.0014342296645149717	271150	-1.0768360265046755	TRUE	TRUE	CRU	CRU013	Important
Individual_2735	Protocol_7	Site_345	833443	chr3	62186	0.07461338087907632	2557.1469230868606	31728.517969960707	833443	0.07458355936989275	0.001447709943092228	271150	0.020599091223945414	FALSE	TRUE	CRU	Reference	Control
CRU024	Protocol_7	Site_345	977523	chr3	72636	0.07430618000804073	2557.1469230868606	31728.517969960707	977523	0.07458355936989275	0.0014434882116474768	271150	-0.19215907661305887	TRUE	TRUE	CRU	CRU024	Important
Individual_2741	Protocol_7	Site_345	543522	chr3	40319	0.07418098991393172	2557.1469230868606	31728.517969960707	543522	0.07458355936989276	0.0014628864667478585	271150	-0.275188447710498	FALSE	TRUE	CRU	Reference	Control
Individual_2742	Protocol_7	Site_345	281290	chr3	21014	0.07470581961676562	2557.1469230868606	31728.517969960707	281290	0.07458355936989275	0.0015028033106673627	271150	0.08135478941590517	FALSE	TRUE	CRU	Reference	Control
Individual_2743	Protocol_7	Site_345	9416	chr3	724	0.07689039932030586	2557.1469230868606	31728.517969960707	9416	0.07458355936989275	0.003056633038859092	271150	0.7546996715294804	FALSE	TRUE	CRU	Reference	Control
Individual_3641	Protocol_7	Site_468	1114139	chr3	83888	0.0752940162762456	2557.1469230868606	31728.517969960707	1114139	0.07458355936989275	0.00144048620638148	271150	0.49320632381307494	FALSE	TRUE	ERE	Reference	Control
Individual_3642	Protocol_7	Site_468	1467102	chr3	109604	0.07470782535910932	2557.1469230868606	31728.517969960707	1467102	0.07458355936989275	0.001435303698266867	271150	0.08657818506746669	FALSE	TRUE	ERE	Reference	Control
Individual_3643	Protocol_7	Site_468	387527	chr3	28653	0.07393807399226376	2557.1469230868606	31728.517969960707	387527	0.07458355936989276	0.0014802544017291626	271150	-0.43606381232507974	FALSE	TRUE	ERE	Reference	Control
ERE004	Protocol_7	Site_468	452307	chr3	33156	0.07330419383294974	2557.1469230868606	31728.517969960707	452307	0.07458355936989275	0.0014716131541125778	271150	-0.86936266733393	TRUE	TRUE	ERE	ERE004	Important
Individual_3645	Protocol_7	Site_468	548975	chr3	41985	0.07647889248144268	2557.1469230868606	31728.517969960707	548975	0.07458355936989275	0.001462455288501367	271150	1.295993885387193	FALSE	TRUE	ERE	Reference	Control
Individual_3646	Protocol_7	Site_468	7385	chr3	591	0.08002708192281652	2557.1469230868606	31728.517969960707	7385	0.07458355936989275	0.0033702917859621522	271150	1.6151487463480108	FALSE	TRUE	ERE	Reference	Control
Individual_4987	Protocol_5	Site_613	741569	chr3	54843	0.07395535681777421	1438.496256160527	18763.136315656142	741569	0.07120693097682489	0.001833804203812788	271150	1.498756429522237	FALSE	TRUE	HKI	Reference	Control
HKI002	Protocol_5	Site_613	133789	chr3	9782	0.07311512904648364	1438.496256160527	18763.136315656142	133789	0.07120693097682489	0.0019411253532119683	271150	0.9830370132981197	TRUE	TRUE	HKI	HKI002	Important
Individual_4989	Protocol_5	Site_613	3332	chr3	256	0.07683073229291716	1438.496256160527	18763.136315656142	3332	0.07120693097682489	0.004808488948421095	271150	1.1695568766855322	FALSE	TRUE	HKI	Reference	Control
Individual_4990	Protocol_5	Site_613	741103	chr3	53840	0.07264847126512779	1438.496256160527	18763.136315656142	741103	0.07120693097682489	0.0018338194932234334	271150	0.7860862498353116	FALSE	TRUE	HKI	Reference	Control
Individual_4991	Protocol_5	Site_613	349770	chr3	25739	0.07358835806387054	1438.496256160527	18763.136315656142	349770	0.0712069309768249	0.001860842295985916	271150	1.2797576087896834	FALSE	TRUE	HKI	Reference	Control
Individual_4992	Protocol_5	Site_613	1538	chr3	99	0.06436931079323797	1438.496256160527	18763.136315656142	1538	0.07120693097682489	0.006802437596820747	271150	-1.00517205579109	FALSE	TRUE	HKI	Reference	Control
Individual_7380	Protocol_5	Site_882	8963	chr3	614	0.06850384915764811	1438.496256160527	18763.136315656142	8963	0.07120693097682489	0.0032637598143068257	271150	-0.8282110121362815	FALSE	TRUE	LAZ	Reference	Control
Individual_7381	Protocol_5	Site_882	620188	chr3	43172	0.0696111501673686	1438.496256160527	18763.136315656142	620188	0.0712069309768249	0.00183855701027937	271150	-0.8679528567970914	FALSE	TRUE	LAZ	Reference	Control
Individual_7385	Protocol_5	Site_882	42367	chr3	3014	0.07114027427006868	1438.496256160527	18763.136315656142	42367	0.07120693097682489	0.002198776616722679	271150	-0.03031536093719268	FALSE	TRUE	LAZ	Reference	Control
Individual_7386	Protocol_5	Site_882	116244	chr3	7853	0.06755617494236262	1438.496256160527	18763.136315656142	116244	0.07120693097682487	0.0019602487290780258	271150	-1.8623942871674948	FALSE	TRUE	LAZ	Reference	Control
LAZ019	Protocol_5	Site_882	142574	chr3	10062	0.07057387742505646	1438.496256160527	18763.136315656142	142574	0.07120693097682489	0.0019332639965851663	271150	-0.32745323602292775	TRUE	TRUE	LAZ	LAZ019	Important
Individual_7388	Protocol_5	Site_882	613669	chr3	44765	0.072946490697754	1438.496256160527	18763.136315656142	613669	0.0712069309768249	0.001838865045018242	271150	0.9459964044897264	FALSE	TRUE	LAZ	Reference	Control
Individual_7389	Protocol_5	Site_882	117680	chr3	8593	0.07302005438477227	1438.496256160527	18763.136315656142	117680	0.07120693097682489	0.0019584771681883727	271150	0.9257822543954171	FALSE	TRUE	LAZ	Reference	Control
Individual_15207	Protocol_5	Site_1791	1488	chr3	91	0.061155913978494625	1438.496256160527	18763.136315656142	1488	0.07120693097682489	0.006907824036220758	271150	-1.4550192572405378	FALSE	TRUE	YUN	Reference	Control
Individual_15478	Protocol_5	Site_1791	322625	chr3	23107	0.07162185199535064	1438.496256160527	18763.136315656142	322625	0.07120693097682489	0.0018651119382789441	271150	0.22246440549226376	FALSE	TRUE	YUN	Reference	Control
Individual_15482	Protocol_5	Site_1791	987933	chr3	70058	0.07091371580866314	1438.496256160527	18763.136315656142	987933	0.07120693097682489	0.0018277304837506423	271150	-0.16042582359301027	FALSE	TRUE	YUN	Reference	Control
Individual_15484	Protocol_5	Site_1791	463887	chr3	32430	0.06990926669641528	1438.496256160527	18763.136315656142	463887	0.07120693097682489	0.0018483021794163676	271150	-0.702084483187355	FALSE	TRUE	YUN	Reference	Control
Individual_15498	Protocol_5	Site_1791	290862	chr3	20753	0.07134998727919081	1438.496256160527	18763.136315656142	290862	0.07120693097682489	0.0018711032837432277	271150	0.07645558831992202	FALSE	TRUE	YUN	Reference	Control
Individual_15500	Protocol_5	Site_1791	546869	chr3	39261	0.07179233052156915	1438.496256160527	18763.136315656142	546869	0.0712069309768249	0.0018424408744875456	271150	0.31773043729670425	FALSE	TRUE	YUN	Reference	Control
Individual_15502	Protocol_5	Site_1791	759710	chr3	54174	0.07130878887996736	1438.496256160527	18763.136315656142	759710	0.07120693097682489	0.001833223483040169	271150	0.055562185453546506	FALSE	TRUE	YUN	Reference	Control
Individual_15503	Protocol_5	Site_1791	545022	chr3	39219	0.07195856314057048	1438.496256160527	18763.136315656142	545022	0.07120693097682489	0.001842552086738414	271150	0.4079299408442163	FALSE	TRUE	YUN	Reference	Control
